dia,indice,geocod,cdufmun,nome
18/08/2021,45.869518777504024,3200607,320060,ARACRUZ
18/08/2021,37.634946588033342,3201209,320120,CACHOEIRO DE ITAPEMIRIM
18/08/2021,40.179123530744038,3201308,320130,CARIACICA
18/08/2021,35.257389312182168,3201506,320150,COLATINA
18/08/2021,40.610927962549175,3202405,320240,GUARAPARI
18/08/2021,39.550974720659323,3203205,320320,LINHARES
18/08/2021,43.374265659370949,3203908,320390,NOVA VENÉCIA
18/08/2021,41.323635924674070,3204906,320490,SÃO MATEUS
18/08/2021,38.680161403468087,3205002,320500,SERRA
18/08/2021,44.539933850241284,3205101,320510,VIANA
18/08/2021,39.147254168267423,3205200,320520,VILA VELHA
18/08/2021,39.603609336026356,3205309,320530,VITÓRIA
