dia,indice,geocod,cdufmun,nome
08/08/2021,54.262719977344295,3200607,320060,ARACRUZ
08/08/2021,46.235612352553882,3201209,320120,CACHOEIRO DE ITAPEMIRIM
08/08/2021,47.765077279330493,3201308,320130,CARIACICA
08/08/2021,44.432814914742626,3201506,320150,COLATINA
08/08/2021,46.604683037389260,3202405,320240,GUARAPARI
08/08/2021,48.900004876225152,3203205,320320,LINHARES
08/08/2021,51.354470624101738,3203908,320390,NOVA VENÉCIA
08/08/2021,49.838371678259318,3204906,320490,SÃO MATEUS
08/08/2021,47.958576897143069,3205002,320500,SERRA
08/08/2021,53.125733868817093,3205101,320510,VIANA
08/08/2021,46.768693025561423,3205200,320520,VILA VELHA
08/08/2021,47.949600821848575,3205309,320530,VITÓRIA
