dia,indice,geocod,cdufmun,nome
09/08/2021,45.519140545318556,3200607,320060,ARACRUZ
09/08/2021,37.938285898146738,3201209,320120,CACHOEIRO DE ITAPEMIRIM
09/08/2021,39.842184004634966,3201308,320130,CARIACICA
09/08/2021,35.606294597062370,3201506,320150,COLATINA
09/08/2021,40.025363293602055,3202405,320240,GUARAPARI
09/08/2021,38.676110514997239,3203205,320320,LINHARES
09/08/2021,42.429195754583120,3203908,320390,NOVA VENÉCIA
09/08/2021,40.942044134727062,3204906,320490,SÃO MATEUS
09/08/2021,38.726930546123171,3205002,320500,SERRA
09/08/2021,42.805255807058198,3205101,320510,VIANA
09/08/2021,39.139898839075740,3205200,320520,VILA VELHA
09/08/2021,39.904646120576157,3205309,320530,VITÓRIA
