dia,indice,geocod,cdufmun,nome
27/08/2021,44.783697178853879,3200607,320060,ARACRUZ
27/08/2021,36.978895949274080,3201209,320120,CACHOEIRO DE ITAPEMIRIM
27/08/2021,40.076072913302145,3201308,320130,CARIACICA
27/08/2021,34.936501094589056,3201506,320150,COLATINA
27/08/2021,40.812506169626592,3202405,320240,GUARAPARI
27/08/2021,39.138573118163958,3203205,320320,LINHARES
27/08/2021,42.354931138695139,3203908,320390,NOVA VENÉCIA
27/08/2021,41.065403271683480,3204906,320490,SÃO MATEUS
27/08/2021,38.628037801866276,3205002,320500,SERRA
27/08/2021,43.664308424237293,3205101,320510,VIANA
27/08/2021,39.423884141094926,3205200,320520,VILA VELHA
27/08/2021,39.260435695681513,3205309,320530,VITÓRIA
