dia,indice,geocod,cdufmun,nome
04/08/2021,46.095882185978471,3200607,320060,ARACRUZ
04/08/2021,37.630191399734246,3201209,320120,CACHOEIRO DE ITAPEMIRIM
04/08/2021,40.883872795982252,3201308,320130,CARIACICA
04/08/2021,35.270506146232613,3201506,320150,COLATINA
04/08/2021,39.899665423294303,3202405,320240,GUARAPARI
04/08/2021,39.944268180679636,3203205,320320,LINHARES
04/08/2021,43.257620821723387,3203908,320390,NOVA VENÉCIA
04/08/2021,41.919128306008927,3204906,320490,SÃO MATEUS
04/08/2021,38.721623268257794,3205002,320500,SERRA
04/08/2021,44.445186987088669,3205101,320510,VIANA
04/08/2021,39.092819150292466,3205200,320520,VILA VELHA
04/08/2021,39.917699481360637,3205309,320530,VITÓRIA
