dia,indice,geocod,cdufmun,nome
25/08/2021,45.793634964955267,3200607,320060,ARACRUZ
25/08/2021,38.005947856491335,3201209,320120,CACHOEIRO DE ITAPEMIRIM
25/08/2021,40.605157260326162,3201308,320130,CARIACICA
25/08/2021,36.196413585215887,3201506,320150,COLATINA
25/08/2021,41.609816675875727,3202405,320240,GUARAPARI
25/08/2021,40.139276896634737,3203205,320320,LINHARES
25/08/2021,43.549538577832840,3203908,320390,NOVA VENÉCIA
25/08/2021,42.127620067064979,3204906,320490,SÃO MATEUS
25/08/2021,39.130399630564421,3205002,320500,SERRA
25/08/2021,43.939620442880525,3205101,320510,VIANA
25/08/2021,39.421591228840961,3205200,320520,VILA VELHA
25/08/2021,39.920655341717646,3205309,320530,VITÓRIA
